date;total_vaccinations
2021-1-17;112
2021-1-18;1109
2021-1-19;13527
2021-1-20;105824
2021-1-21;193699
2021-1-22;462269
2021-1-23;573268
2021-1-24;613954
2021-1-25;801759
2021-1-26;1045746
2021-1-27;1327546
2021-1-28;1563098
2021-1-29;1923813
2021-1-30;2046523
2021-1-31;2084119
2021-2-1;2292551
2021-2-2;2521704
2021-2-3;2802134
2021-2-4;3074906
2021-2-5;3401383
2021-2-6;3553681
2021-2-7;3605538
2021-2-8;3820207
2021-2-9;4120332
2021-2-10;4406835
2021-2-11;4696136
2021-2-12;5125206
2021-2-13;5236943
2021-2-14;5293979
2021-2-15;5609937
2021-2-16;5883539
2021-2-17;6206680
2021-2-18;6535156
2021-2-19;6813168
2021-2-20;6950802
2021-2-21;7028356
2021-2-22;7297061
2021-2-23;7551676
2021-2-24;7799000
2021-2-25;8101787
2021-2-26;8322042
2021-2-27;8433568
2021-2-28;8465403
2021-3-1;8841027
2021-3-2;9277322
2021-3-3;9739676
2021-3-4;10169160
2021-3-5;10576542
2021-3-6;10830688
2021-3-7;10948409
2021-3-8;11357494
2021-3-9;11756131
2021-3-10;12181103
2021-3-11;12613179
2021-3-12;13017720
2021-3-13;13223729
2021-3-14;13286664
2021-3-15;13763573
2021-3-16;14198794
2021-3-17;14648691
2021-3-18;15087602
2021-3-19;15623349
2021-3-20;15883688
2021-3-21;15980363
2021-3-22;16567102
2021-3-23;17157631
2021-3-24;17886781
2021-3-25;18655345
2021-3-26;19577786
2021-3-27;19962072
2021-3-28;20216938
2021-3-29;21160763
2021-3-30;21950245
2021-3-31;22839287
2021-4-1;23880805
2021-4-2;24181208
2021-4-3;24575470
2021-4-4;24910668
2021-4-5;25658532
2021-4-6;26736003
2021-4-7;27644079
2021-4-8;28653848
2021-4-9;29544578
2021-4-10;30084664
2021-4-11;30356896
2021-4-12;31316420
2021-4-13;32217205
2021-4-14;33148388
2021-4-15;34050325
2021-4-16;34993448
2021-4-17;35603882
2021-4-18;35817144
2021-4-19;36910479
2021-4-20;37909705
2021-4-21;38467754
2021-4-22;39291064
2021-4-23;41073104
2021-4-24;41494939
2021-4-25;41626753
2021-4-26;42787199
2021-4-27;44287510
2021-4-28;45379804
2021-4-29;46426188
2021-4-30;47399150
2021-5-1;47663526
2021-5-2;47755613
2021-5-3;48643324
2021-5-4;49626137
2021-5-5;50576224
2021-5-6;51624587
2021-5-7;52647815
2021-5-8;52972460
2021-5-9;53064124
2021-5-10;54008862
2021-5-11;54912939
2021-5-12;55907165
2021-5-13;56583962
2021-5-14;57313642
2021-5-15;57668646
2021-5-16;57935280
2021-5-17;58714631
2021-5-18;59603625
2021-5-19;60363334
2021-5-20;61297420
2021-5-21;62122684
2021-5-22;62459684
2021-5-23;63278821
2021-5-24;64098809
2021-5-25;64918585
2021-5-26;65668438
2021-5-27;66363506
2021-5-28;67359292
2021-5-29;67761958
2021-5-30;67874735
2021-5-31;68665647
2021-6-1;69477898
2021-6-2;70685368
2021-6-3;71245492
2021-6-4;71961789
2021-6-5;72586950
2021-6-6;72811509
2021-6-7;73614079
2021-6-8;74920113
2021-6-9;76117123
2021-6-10;77243101
2021-6-11;78471914
2021-6-12;79118243
2021-6-13;79466212
2021-6-14;80577338
2021-6-15;81940689
2021-6-16;83181485
2021-6-17;85441106
2021-6-18;87160471
2021-6-19;88108418
2021-6-20;88570223
2021-6-21;90013336
2021-6-22;91420290
2021-6-23;92782243
2021-6-24;94322179
2021-6-25;95764065
2021-6-26;96545254
2021-6-27;96789753
2021-6-28;97929680
2021-6-29;99828676
2021-6-30;101167462
2021-7-1;102561737
2021-7-2;104047565
2021-7-3;104753510
2021-7-4;105097389
2021-7-5;106696625
2021-7-6;108247755
2021-7-7;109976127
2021-7-8;111573265
2021-7-9;112999344
2021-7-10;113929447
2021-7-11;114350128
2021-7-12;115654260
2021-7-13;117154411
2021-7-14;118689127
2021-7-15;120155331
2021-7-16;121651233
2021-7-17;122615695
2021-7-18;122859535
2021-7-19;124433796
2021-7-20;126315897
2021-7-21;128199383
2021-7-22;130131385
2021-7-23;131858906
2021-7-24;132812191
2021-7-25;133139145
2021-7-26;134540217
2021-7-27;136158369
2021-7-28;137944954
2021-7-29;139483586
2021-7-30;141319627
2021-7-31;142301917
2021-8-1;142598659
2021-8-2;143762758
2021-8-3;145618595
2021-8-4;148054492
2021-8-5;149763010
2021-8-6;151506191
2021-8-7;152313188
2021-8-8;152680029
2021-8-9;154190964
2021-8-10;156399040
2021-8-11;158422879
2021-8-12;160674246
2021-8-13;162832096
2021-8-14;164215233
2021-8-15;164680217
2021-8-16;166750328
2021-8-17;169753003
2021-8-18;171741149
2021-8-19;174263122
2021-8-20;176376890
2021-8-21;177587502
2021-8-22;178173214
2021-8-23;180251675
2021-8-24;182654763
2021-8-25;184707573
2021-8-26;186102952
2021-8-27;188045400
2021-8-28;189376018
2021-8-29;189971293
2021-8-30;191515901
2021-8-31;194176380
2021-9-1;196166473
2021-9-2;198142390
2021-9-3;200077775
2021-9-4;201126108
2021-9-5;201522079
2021-9-6;203024669
2021-9-7;203577189
2021-9-8;205296045
2021-9-9;207509808
2021-9-10;209917761
2021-9-11;211223433
2021-9-12;211710814
2021-9-13;213203733
2021-9-14;215338063
2021-9-15;217240047
2021-9-16;218735998
2021-9-17;221071595
2021-9-18;222156927
2021-9-19;222581680
2021-9-20;223781527
2021-9-21;225592884
2021-9-22;227304555
2021-9-23;229100357
2021-9-24;230893002
2021-9-25;231983152
2021-9-26;232495892
2021-9-27;233772505
2021-9-28;235617220
2021-9-29;237320144
2021-9-30;239190412
2021-10-1;241200485
2021-10-2;242252204
2021-10-3;242632087
2021-10-4;243733571
2021-10-5;245292452
2021-10-6;247057054
2021-10-7;248820533
2021-10-8;250516351
2021-10-9;251524115
2021-10-10;252149684
2021-10-11;253164892
2021-10-12;253561158
2021-10-13;254426529
2021-10-14;256762148
2021-10-15;258849471
2021-10-16;260157865
2021-10-17;260683274
2021-10-18;261824131
2021-10-19;263569544
2021-10-20;265607325
2021-10-21;266620080
2021-10-22;267964026
2021-10-23;268638494
2021-10-24;269442502
2021-10-25;271861944
2021-10-26;273720279
2021-10-27;275436454
2021-10-28;277057532
2021-10-29;278686713
2021-10-30;279265141
2021-10-31;279666131
2021-11-1;279959241
2021-11-2;280181200
2021-11-3;281228625
2021-11-4;282661800
2021-11-5;284683953
2021-11-6;285378181
2021-11-7;285943124
2021-11-8;287531811
2021-11-9;288956195
2021-11-10;290429521
2021-11-11;292021210
2021-11-12;293253508
2021-11-13;293936446
2021-11-14;294339583
2021-11-15;294928227
2021-11-16;295624622
2021-11-17;297253230
2021-11-18;298447729
2021-11-19;299734733
2021-11-20;300573489
2021-11-21;301182753
2021-11-22;302331069
2021-11-23;303515430
2021-11-24;304659197
2021-11-25;305503188
2021-11-26;306741882
2021-11-27;307205318
2021-11-28;307583387
2021-11-29;307817825
2021-11-30;309486607
2021-12-1;310770495
2021-12-2;311950389
2021-12-3;313665030
2021-12-4;314450780
2021-12-5;314612221
2021-12-6;315518302
2021-12-7;316677030
2021-12-8;317474217
2021-12-9;318799260
2021-12-10;319739095
2021-12-11;319980117
2021-12-12;320112450
2021-12-13;320737938
2021-12-14;321601407
2021-12-15;322902290
2021-12-16;323831095
2021-12-17;324589549
2021-12-18;324798686
2021-12-19;324846680
2021-12-20;325593485
2021-12-21;326335565
2021-12-22;327562756
2021-12-23;328473878
2021-12-27;329011365
2021-12-28;329861730
2021-12-29;330718457
2021-12-30;331164041
2021-12-31;331273910
2022-1-1;331292259
2022-1-2;331335826
2022-1-3;332076818
2022-1-4;332903332
2022-1-5;333627875
2022-1-9;335742922
2022-1-10;336825920
2022-1-11;337655171
2022-1-12;338386118
2022-1-13;339257036
2022-1-14;339988963
2022-1-15;340281915
2022-1-16;343352666
2022-1-17;347329271
2022-1-18;348164653
2022-1-19;349495232
2022-1-20;350629268
2022-1-21;351485976
2022-1-22;352744905
2022-1-23;352952210
